Source,Label,Target,Source_Node_Type,Target_Node_Type,Relation
Maesters,Former Members,Pycelle,Organization,Person,Membership
Maesters,Center,Oldtown,Organization,Location,Center
Maesters,Founder,Peremore_Hightower,Organization,Person,Founder
Warlocks,Season(s),Season_2,Organization,Season,SeenOrMentioned
Warlocks,Season(s),Season_3,Organization,Season,SeenOrMentioned
Warlocks,Appeared in,Garden_of_Bones,Organization,Episode,SeenOrMentioned
Warlocks,Appeared in,The_Ghost_of_Harrenhal,Organization,Episode,SeenOrMentioned
Warlocks,Appeared in,A_Man_Without_Honor,Organization,Episode,SeenOrMentioned
Warlocks,Appeared in,Valar_Morghulis,Organization,Episode,SeenOrMentioned
Warlocks,Appeared in,Valar_Dohaeris,Organization,Episode,SeenOrMentioned
Warlocks,Notable Members,Unidentified_Warlock,Organization,Person,Membership
Warlocks,Former Members,Pyat_Pree,Organization,Person,Membership
Warlocks,Center,House_of_the_Undying,Organization,House,Center
Warlocks,Center,Qarth,Organization,Location,Center
Luwin,Season(s),Season_1,Person,Season,SeenOrMentioned
Luwin,Season(s),Season_2,Person,Season,SeenOrMentioned
Luwin,First seen,Winter_Is_Coming,Person,Episode,SeenOrMentioned
Luwin,Last seen,Valar_Morghulis,Person,Episode,SeenOrMentioned
Luwin,Death,Winterfell,Person,Location,Death
Luwin,Death,Dagmer,Person,Person,Death
Luwin,Death,Osha,Person,Person,Death
Luwin,Death shown in episode,Valar_Morghulis,Person,Episode,SeenOrMentioned
Luwin,Allegiance,Maesters,Person,Organization,Allegiance
Small_Council,Season(s),Season_1,Organization,Season,SeenOrMentioned
Small_Council,Season(s),Season_2,Organization,Season,SeenOrMentioned
Small_Council,Season(s),Season_3,Organization,Season,SeenOrMentioned
Small_Council,Season(s),Season_4,Organization,Season,SeenOrMentioned
Small_Council,Season(s),Season_5,Organization,Season,SeenOrMentioned
Small_Council,Season(s),Season_6,Organization,Season,SeenOrMentioned
Small_Council,Allegiance,Cersei_Lannister,Organization,Person,Allegiance
Small_Council,Leader,Qyburn,Organization,Person,Leader
Small_Council,Former Members,Jon_Arryn,Organization,Person,Membership
Small_Council,Former Members,Renly_Baratheon,Organization,Person,Membership
Small_Council,Former Members,Stannis_Baratheon,Organization,Person,Membership
Small_Council,Former Members,Eddard_Stark,Organization,Person,Membership
Small_Council,Former Members,Janos_Slynt,Organization,Person,Membership
Small_Council,Former Members,City_Watch_of_King%27s_Landing,Organization,Organization,Membership
Small_Council,Former Members,Petyr_Baelish,Organization,Person,Membership
Small_Council,Former Members,Tyrion_Lannister,Organization,Person,Membership
Small_Council,Former Members,Oberyn_Martell,Organization,Person,Membership
Small_Council,Former Members,Tywin_Lannister,Organization,Person,Membership
Small_Council,Former Members,Varys,Organization,Person,Membership
Small_Council,Former Members,Cersei_Lannister,Organization,Person,Membership
Small_Council,Former Members,Qyburn,Organization,Person,Membership
Small_Council,Former Members,Olenna_Tyrell,Organization,Person,Membership
Small_Council,Former Members,Kevan_Lannister,Organization,Person,Membership
Small_Council,Former Members,Pycelle,Organization,Person,Membership
Small_Council,Former Members,Mace_Tyrell,Organization,Person,Membership
Small_Council,Center,Red_Keep,Organization,Location,Center
Small_Council,Center,King%27s_Landing,Organization,Location,Center
Small_Council,Founder,Aegon_I_Targaryen,Organization,Person,Founder
Night%27s_Watch,Season(s),Season_1,Organization,Season,SeenOrMentioned
Night%27s_Watch,Season(s),Season_2,Organization,Season,SeenOrMentioned
Night%27s_Watch,Season(s),Season_3,Organization,Season,SeenOrMentioned
Night%27s_Watch,Season(s),Season_4,Organization,Season,SeenOrMentioned
Night%27s_Watch,Season(s),Season_5,Organization,Season,SeenOrMentioned
Night%27s_Watch,Season(s),Season_6,Organization,Season,SeenOrMentioned
Night%27s_Watch,Season(s),Season_7,Organization,Season,SeenOrMentioned
Night%27s_Watch,Leader,Eddison_Tollett,Organization,Person,Leader
Night%27s_Watch,Notable Members,Maesters,Organization,Organization,Membership
Night%27s_Watch,Notable Members,Aemon,Organization,Person,Membership
Night%27s_Watch,Notable Members,Denys_Mallister,Organization,Person,Membership
Night%27s_Watch,Notable Members,Cotter_Pyke,Organization,Person,Membership
Night%27s_Watch,Notable Members,Alliser_Thorne,Organization,Person,Membership
Night%27s_Watch,Notable Members,Janos_Slynt,Organization,Person,Membership
Night%27s_Watch,Notable Members,Endrew_Tarth,Organization,Person,Membership
Night%27s_Watch,Notable Members,Bowen_Marsh,Organization,Person,Membership
Night%27s_Watch,Notable Members,Othell_Yarwyck,Organization,Person,Membership
Night%27s_Watch,Notable Members,Samwell_Tarly,Organization,Person,Membership
Night%27s_Watch,Notable Members,Yoren,Organization,Person,Membership
Night%27s_Watch,Notable Members,Pypar,Organization,Person,Membership
Night%27s_Watch,Notable Members,Grenn,Organization,Person,Membership
Night%27s_Watch,Notable Members,Olly,Organization,Person,Membership
Night%27s_Watch,Notable Members,Finn,Organization,Person,Membership
Night%27s_Watch,Notable Members,Erik,Organization,Person,Membership
Night%27s_Watch,Former Members,Mance_Rayder,Organization,Person,Membership
Night%27s_Watch,Former Members,Karl_Tanner,Organization,Person,Membership
Night%27s_Watch,Former Members,Rast,Organization,Person,Membership
Night%27s_Watch,Former Members,Gared_Tuttle,Organization,Person,Membership
Night%27s_Watch,Former Members,Cotter,Organization,Person,Membership
Night%27s_Watch,Former Members,Jon_Snow,Organization,Person,Membership
Night%27s_Watch,Former Members,Benjen_Stark,Organization,Person,Membership
Night%27s_Watch,Former Members,Finn,Organization,Person,Membership
Night%27s_Watch,Center,Castle_Black,Organization,Location,Center
Wolkan,Season(s),Season_6,Person,Season,SeenOrMentioned
Wolkan,Season(s),Season_7,Person,Season,SeenOrMentioned
Wolkan,First seen,The_Red_Woman,Person,Episode,SeenOrMentioned
Wolkan,Allegiance,Maesters,Person,Organization,Allegiance
Bear_Island_maester,Season(s),Season_6,Person,Season,SeenOrMentioned
Bear_Island_maester,Appeared in,The_Broken_Man,Person,Episode,SeenOrMentioned
Bear_Island_maester,Allegiance,Maesters,Person,Organization,Allegiance
Bear_Island_maester,Culture,Northmen,Person,PersonType,Culture
Cressen,Season(s),Season_2,Person,Season,SeenOrMentioned
Cressen,Appeared in,The_North_Remembers,Person,Episode,SeenOrMentioned
Cressen,Death shown in episode,The_North_Remembers,Person,Episode,SeenOrMentioned
Cressen,Allegiance,Maesters,Person,Organization,Allegiance
Cressen,Religion,Faith_of_the_Seven,Person,Organization,Religion
City_Watch_of_King%27s_Landing,Season(s),Season_1,Organization,Season,SeenOrMentioned
City_Watch_of_King%27s_Landing,Season(s),Season_2,Organization,Season,SeenOrMentioned
City_Watch_of_King%27s_Landing,Season(s),Season_3,Organization,Season,SeenOrMentioned
City_Watch_of_King%27s_Landing,Season(s),Season_4,Organization,Season,SeenOrMentioned
City_Watch_of_King%27s_Landing,Season(s),Season_5,Organization,Season,SeenOrMentioned
City_Watch_of_King%27s_Landing,Season(s),Season_7,Organization,Season,SeenOrMentioned
City_Watch_of_King%27s_Landing,Former Members,Bronn,Organization,Person,Membership
City_Watch_of_King%27s_Landing,Former Members,Janos_Slynt,Organization,Person,Membership
City_Watch_of_King%27s_Landing,Center,King%27s_Landing,Organization,Location,Center
City_Watch_of_King%27s_Landing,Founder,Daemon_Targaryen,Organization,Person,Founder
Sack_of_Highgarden,Conflict,Daenerys_Targaryen%27s_invasion_of_Westeros,Event,Event,Conflict
Sack_of_Highgarden,Place,Highgarden,Event,Location,Place
Sack_of_Highgarden,Outcome,House_Lannister,Event,House,Outcome
Sack_of_Highgarden,Outcome,House_Tarly,Event,House,Outcome
Sack_of_Highgarden,Outcome,Olenna_Tyrell,Event,Person,Outcome
Sack_of_Highgarden,Outcome,House_Tyrell,Event,House,Outcome
Margaery_Tyrell,Season(s),Season_2,Person,Season,SeenOrMentioned
Margaery_Tyrell,Season(s),Season_3,Person,Season,SeenOrMentioned
Margaery_Tyrell,Season(s),Season_4,Person,Season,SeenOrMentioned
Margaery_Tyrell,Season(s),Season_5,Person,Season,SeenOrMentioned
Margaery_Tyrell,Season(s),Season_6,Person,Season,SeenOrMentioned
Margaery_Tyrell,First seen,What_Is_Dead_May_Never_Die,Person,Episode,SeenOrMentioned
Margaery_Tyrell,Last seen,The_Winds_of_Winter,Person,Episode,SeenOrMentioned
Margaery_Tyrell,Death,King%27s_Landing,Person,Location,Death
Margaery_Tyrell,Death,Destruction_of_the_Great_Sept_of_Baelor,Person,Event,Death
Margaery_Tyrell,Death,Cersei_Lannister,Person,Person,Death
Margaery_Tyrell,Death shown in episode,The_Winds_of_Winter,Person,Episode,SeenOrMentioned
Margaery_Tyrell,Origin,Highgarden,Person,Location,AssociatedLocation
Margaery_Tyrell,Allegiance,House_Tyrell,Person,House,Allegiance
Margaery_Tyrell,Allegiance,House_Baratheon_of_King%27s_Landing,Person,House,Allegiance
Margaery_Tyrell,Culture,Andals,Person,PersonType,Culture
Margaery_Tyrell,Religion,Faith_of_the_Seven,Person,Organization,Religion
Margaery_Tyrell,Father,Mace_Tyrell,Person,Person,Father
Margaery_Tyrell,Mother,Alerie_Tyrell,Person,Person,Mother
Margaery_Tyrell,Spouse,Renly_Baratheon,Person,Person,Spouse
Margaery_Tyrell,Spouse,Joffrey_Baratheon,Person,Person,Spouse
Margaery_Tyrell,Spouse,Tommen_Baratheon,Person,Person,Spouse
Margaery_Tyrell,Siblings,Loras_Tyrell,Person,Person,Siblings
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Parley_in_King%27s_Landing,Event,Event,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Great_War,Event,Event,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Targaryen,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Targaryen,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Iron_Fleet,Event,Organization,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Casterly_Rock,Event,Location,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Unsullied,Event,Organization,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Highgarden,Event,Location,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Tyrell,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Battle_of_the_Goldroad,Event,Event,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Sack_of_Highgarden,Event,Event,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Highgarden,Event,Location,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Jon_Snow,Event,Person,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Stark,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,The_North,Event,Location,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Targaryen,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Targaryen,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,House_Lannister,Event,House,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,White_Walkers,Event,PersonType,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Cersei_Lannister,Event,Person,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Golden_Company,Event,Organization,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Outcome,Jaime_Lannister,Event,Person,Outcome
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Abandonment_of_Dragonstone,Event,Event,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Assault_on_the_Targaryen_Fleet,Event,Event,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Siege_of_Casterly_Rock,Event,Event,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Sack_of_Highgarden,Event,Event,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Battle_of_the_Goldroad,Event,Event,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Wight_Hunt,Event,Event,Battles
Daenerys_Targaryen%27s_invasion_of_Westeros,Battles,Parley_in_King%27s_Landing,Event,Event,Battles
Battle_of_Ironrath,Conflict,Forrester-Whitehill_conflict,Event,Event,Conflict
Battle_of_Ironrath,Place,Ironrath,Event,Location,Place
Battle_of_Ironrath,Outcome,House_Whitehill,Event,House,Outcome
Battle_of_Ironrath,Outcome,Ryon_Forrester,Event,Person,Outcome
Battle_of_Ironrath,Outcome,Ludd_Whitehill,Event,Person,Outcome
Battle_of_Ironrath,Outcome,Gryff_Whitehill,Event,Person,Outcome
Battle_of_Ironrath,Outcome,House_Forrester,Event,House,Outcome
Battle_of_Ironrath,Outcome,Elaena_Glenmore,Event,Person,Outcome
Volarik,Season(s),Season_4,Person,Season,SeenOrMentioned
Volarik,Mentioned in,The_Mountain_and_the_Viper,Person,Episode,SeenOrMentioned
Volarik,Allegiance,Maesters,Person,Organization,Allegiance
Volarik,Allegiance,Casterly_Rock,Person,Location,Allegiance
Vaull,Season(s),Season_4,Person,Season,SeenOrMentioned
Vaull,Mentioned in,The_Watchers_on_the_Wall,Person,Episode,SeenOrMentioned
Vaull,Allegiance,Night%27s_Watch,Person,Organization,Allegiance
Captured_wight,Season(s),Season_7,Person,Season,SeenOrMentioned
Captured_wight,First seen,Beyond_the_Wall_(episode),Person,Episode,SeenOrMentioned
Captured_wight,Last seen,The_Dragon_and_the_Wolf,Person,Episode,SeenOrMentioned
Captured_wight,Death,Beyond_the_Wall,Person,Location,Death
Captured_wight,Death,King%27s_Landing,Person,Location,Death
Captured_wight,Death,Jon_Snow,Person,Person,Death
Captured_wight,Death shown in episode,The_Dragon_and_the_Wolf,Person,Episode,SeenOrMentioned
Captured_wight,Allegiance,White_Walkers,Person,PersonType,Allegiance
Captured_wight,Culture,Free_Folk,Person,PersonType,Culture
Balerion,Season(s),Season_1,Animal,Season,SeenOrMentioned
Balerion,Season(s),Season_2,Animal,Season,SeenOrMentioned
Balerion,Season(s),Season_3,Animal,Season,SeenOrMentioned
Balerion,Season(s),Season_7,Animal,Season,SeenOrMentioned
Balerion,Mentioned in,A_Man_Without_Honor,Animal,Episode,SeenOrMentioned
Balerion,Mentioned in,Mhysa,Animal,Episode,SeenOrMentioned
Balerion,Mentioned in,Stormborn,Animal,Episode,SeenOrMentioned
Balerion,Allegiance,Aegon_I_Targaryen,Animal,Person,Allegiance
Balerion,Allegiance,Viserys_I_Targaryen,Animal,Person,Allegiance
Dragonpit,Location,King%27s_Landing,Location,Location,Location
Dragonpit,Location,The_Crownlands,Location,Location,Location
Dragonpit,Rulers,House_Targaryen,Location,House,Rulers
Battle_of_the_Goldroad,Conflict,Daenerys_Targaryen%27s_invasion_of_Westeros,Event,Event,Conflict
Battle_of_the_Goldroad,Place,The_Reach,Event,Location,Place
Battle_of_the_Goldroad,Outcome,House_Targaryen,Event,House,Outcome
Battle_of_the_Goldroad,Outcome,House_Lannister,Event,House,Outcome
Battle_of_the_Goldroad,Outcome,House_Tarly,Event,House,Outcome
Battle_of_the_Goldroad,Outcome,King%27s_Landing,Event,Location,Outcome
Battle_of_the_Goldroad,Outcome,Randyll_Tarly,Event,Person,Outcome
Battle_of_the_Goldroad,Outcome,Dickon_Tarly,Event,Person,Outcome
Northern_Allegiances_to_House_Stark,Season(s),Season_6,HistoriesNLore,Season,SeenOrMentioned
Northern_Allegiances_to_House_Stark,Narrated by,Sansa_Stark,HistoriesNLore,Person,Narratedby
Golden_Company,Season(s),Season_8,Organization,Season,SeenOrMentioned
Golden_Company,Mentioned in,Breaker_of_Chains,Organization,Episode,SeenOrMentioned
Golden_Company,Mentioned in,Mockingbird,Organization,Episode,SeenOrMentioned
Golden_Company,Mentioned in,The_Spoils_of_War,Organization,Episode,SeenOrMentioned
Golden_Company,Mentioned in,The_Dragon_and_the_Wolf,Organization,Episode,SeenOrMentioned
Golden_Company,Allegiance,House_Blackfyre,Organization,House,Allegiance
Golden_Company,Leader,Harry_Strickland,Organization,Person,Leader
Golden_Company,Former Members,Jorah_Mormont,Organization,Person,Membership
Golden_Company,Center,Free_Cities,Organization,Location,Center
Golden_Company,Founder,Aegor_Rivers,Organization,Person,Founder
Tyene_Sand,Season(s),Season_5,Person,Season,SeenOrMentioned
Tyene_Sand,Season(s),Season_6,Person,Season,SeenOrMentioned
Tyene_Sand,Season(s),Season_7,Person,Season,SeenOrMentioned
Tyene_Sand,First seen,Sons_of_the_Harpy_(episode),Person,Episode,SeenOrMentioned
Tyene_Sand,Last seen,The_Queen%27s_Justice,Person,Episode,SeenOrMentioned
Tyene_Sand,Mentioned in,First_of_His_Name,Person,Episode,SeenOrMentioned
Tyene_Sand,Death,King%27s_Landing,Person,Location,Death
Tyene_Sand,Death,Cersei_Lannister,Person,Person,Death
Tyene_Sand,Death shown in episode,The_Queen%27s_Justice,Person,Episode,SeenOrMentioned
Tyene_Sand,Allegiance,Sand_Snakes,Person,Organization,Allegiance
Tyene_Sand,Allegiance,Ellaria_Sand,Person,Person,Allegiance
Tyene_Sand,Allegiance,House_Martell,Person,House,Allegiance
Tyene_Sand,Culture,Dornishmen,Person,PersonType,Culture
Tyene_Sand,Father,Oberyn_Martell,Person,Person,Father
Tyene_Sand,Mother,Ellaria_Sand,Person,Person,Mother
Tyene_Sand,Siblings,Elia_Sand,Person,Person,Siblings
Tyene_Sand,Siblings,Obella_Sand,Person,Person,Siblings
Tyene_Sand,Siblings,Dorea_Sand,Person,Person,Siblings
Tyene_Sand,Siblings,Loreza_Sand,Person,Person,Siblings
Tyene_Sand,Siblings,Obara_Sand,Person,Person,Siblings
Tyene_Sand,Siblings,Nymeria_Sand,Person,Person,Siblings
Tyene_Sand,Siblings,Sarella_Sand,Person,Person,Siblings
The_North_(Histories_%26_Lore),Season(s),Season_3,HistoriesNLore,Season,SeenOrMentioned
The_North_(Histories_%26_Lore),Narrated by,Jon_Snow,HistoriesNLore,Person,Narratedby
Citadel_maester_(The_Winds_of_Winter),Season(s),Season_6,Person,Season,SeenOrMentioned
Citadel_maester_(The_Winds_of_Winter),Appeared in,The_Winds_of_Winter,Person,Episode,SeenOrMentioned
Citadel_maester_(The_Winds_of_Winter),Allegiance,The_Citadel,Person,Location,Allegiance
The_Maester%27s_Chain,Season(s),Season_4,HistoriesNLore,Season,SeenOrMentioned
The_Maester%27s_Chain,Narrated by,Qyburn,HistoriesNLore,Person,Narratedby
