got_type,name,node_type,status,url
,Battle at Long Lake,Event,,Battle_at_Long_Lake
,Vulture Hunt,Event,,Vulture_Hunt
,The Field of Fire,HistoriesNLore,,The_Field_of_Fire
,Elaena Glenmore,Person,Uncertain,Elaena_Glenmore
,Gryff Whitehill,Person,Determinant,Gryff_Whitehill
,Ryon Forrester,Person,Alive,Ryon_Forrester
,Biter,Person,Deceased,Biter
,First Dornish War,Event,,First_Dornish_War
,Rorge,Person,Deceased,Rorge
,Ludd Whitehill,Person,Determinant,Ludd_Whitehill
,Polliver,Person,Deceased,Polliver
,Willem Lannister,Person,Deceased,Willem_Lannister
,Martyn Lannister,Person,Deceased,Martyn_Lannister
,Alton Lannister,Person,Deceased,Alton_Lannister
,Stafford Lannister,Person,Deceased,Stafford_Lannister
,Joanna Lannister,Person,Deceased,Joanna_Lannister
,Marillion,Person,Alive,Marillion
,Needle,Weapon,With Arya Stark,Needle
Castle,Clegane's Keep,Location,In use,Clegane%27s_Keep
Castle,Feastfires,Location,In use,Feastfires
Castle,Crakehall,Location,In use,Crakehall
Settlement,Cornfield,Location,In use,Cornfield
Castle,Deep Den,Location,In use,Deep_Den
Castle,Faircastle,Location,,Faircastle
Castle,Hornvale,Location,,Hornvale
Village,Oxcross,Location,Inhabited,Oxcross
Castle,Sarsfield,Location,In use,Sarsfield
Stronghold,Ashemark,Location,In use,Ashemark
Castle,The Crag,Location,Partially ruined; Still in use,The_Crag
,Gared's sister,Person,Deceased,Gared%27s_sister
,Gared's father,Person,Deceased,Gared%27s_father
Outlaw brotherhood,The Kingswood Brotherhood,Organization,Disbanded,Kingswood_Brotherhood
,Thermund,Person,Deceased,Thermund
,Norren,Person,Unknown,Norren
,Lady Crane,Person,Deceased,Lady_Crane
,Mord,Person,Alive,Mord
,Lothor Brune,Person,Alive,Lothor_Brune
,Valyrian Steel Dagger,Weapon,,Valyrian_steel_dagger
,Willem Frey,Person,Deceased,Willem_Frey
Castle,The Banefort,Location,,The_Banefort
,Robett Glover,Person,Alive,Robett_Glover
,Harrion Karstark,Person,Deceased,Harrion_Karstark
,Grey Wind,Animal,Deceased,Grey_Wind
,Son of Robert Baratheon and Cersei Lannister,Person,Deceased,Baratheon_(son_of_Robert)
,Tysha,Person,Uncertain,Tysha
,House Swyft,House,,House_Swyft
,The Tickler,Person,Deceased,The_Tickler
,Weasel,Person,Alive,Weasel
,Innkeeper's daughter,Person,Alive,Innkeeper%27s_daughter
,Lord of Bones,Person,Deceased,Lord_of_Bones
,Baelish,Person,Deceased,Baelish_(founder)
,Baelish,Person,Deceased,Baelish_(hedge_knight)
,House Fossoway,House,,House_Fossoway
,Ros,Person,Deceased,Ros
,Dontos Hollard,Person,Deceased,Dontos_Hollard
,Tourney Herald,Person,Alive,Tourney_Herald
,House Baelish,House,,House_Baelish
,House Brune,House,,House_Brune
,Elbert Arryn,Person,,Elbert_Arryn
,Hugh,Person,Deceased,Hugh
,Baelish,Person,Deceased,Lord_Baelish_(father_of_Petyr)
Castle,Baelish Castle,Location,,Unnamed_Baelish_castle
,Ryger Rivers,Person,Deceased,Ryger_Rivers
,Talbot,Person,Deceased,Talbot
,Waldron Frey,Person,Uncertain,Waldron_Frey
,Malcolm,Person,Deceased,Malcolm
,House Whent,House,,House_Whent
,Joyeuse Frey,Person,Deceased,Joyeuse_Frey
,House Tarbeck,House,,House_Tarbeck
,House Casterly,House,,House_Casterly
,House Greenfield,House,,House_Greenfield
,House Lorch,House,,House_Lorch
,House Hetherspoon,House,,House_Hetherspoon
,House Yarwyck,House,,House_Yarwyck
,House Tollett,House,,House_Tollett
,House Lynderly,House,,House_Lynderly
,House Egen,House,,House_Egen
,House Strong,House,,House_Strong
,House Hunter,House,,House_Hunter
,House Moore,House,,House_Moore
,House Qoherys,House,,House_Qoherys
,House Mudd,House,,House_Mudd
,House Lothston,House,,House_Lothston
,House Justman,House,,House_Justman
,House Harroway,House,,House_Harroway
,House Darry,House,,House_Darry
,House Wode,House,,House_Wode
,House Haigh,House,,House_Haigh
,Son of Edmure and Roslin Tully,Person,Alive,Tully_(son_of_Edmure)
,Kitty Frey,Person,Alive,Kitty_Frey
,Frey soldier,Person,Deceased,Frey_soldier_1
,Lannister messenger,Person,Alive,Lannister_messenger
,Lannister scout,Person,Alive,Lannister_scout
,Lannister spearman,Person,Deceased,Lannister_spearman
,Lannister soldier,Person,Alive,Lannister_soldier_3_(Dragonstone)
,Lannister soldier,Person,Alive,Lannister_soldier_1_(Dragonstone)
,Lannister soldier,Person,Alive,Lannister_soldier_(No_One)
,Lannister captain,Person,Alive,Lannister_captain_(Home)
,Melara Hethersoon,Person,Uncertain,Melara_Hetherspoon
,Tion Tarbeck,Person,Deceased,Tion_Tarbeck
,Ellyn Reyne,Person,Deceased,Ellyn_Reyne
,Siege of Tarbeck Hall,Event,,Siege_of_Tarbeck_Hall
,Walderan Tarbeck,Person,Deceased,Walderan_Tarbeck
Castle,Tarbeck Hall,Location,Destroyed by Ser  Tywin Lannister,Tarbeck_Hall
,Knight of House Frey,Person,Deceased,Knight_of_House_Frey
,Lannister guard,Person,Alive,Lannister_guard_2
,Lannister soldier,Person,Alive,Lannister_soldier_2_(The_Dragon_and_the_Wolf)
,Musician,Person,Alive,Musician_3_(The_Lion_and_the_Rose)
,Musician,Person,Alive,Musician_2_(The_Lion_and_the_Rose)
,Battle of the Camps,Event,,Battle_of_the_Camps
,Alys Harroway,Person,Deceased,Alys_Harroway
,Musician,Person,Alive,Musician_1_(The_Lion_and_the_Rose)
,Qhored Hoare,Person,Deceased,Qhored_Hoare
,The Grey King,Person,Deceased,Grey_King
,Raymun Darry,Person,Deceased,Raymun_Darry
,Danelle Lothston,Person,Deceased,Danelle_Lothston
,Tion Lannister,Person,Deceased,Tion_Lannister
,Tywald Lannister,Person,Deceased,Tywald_Lannister
,Reynard Reyne,Person,Deceased,Reynard_Reyne
,Roger Reyne,Person,Deceased,Roger_Reyne
,Jeyne Lannister,Person,Deceased,Jeyne_Lannister
,Gerold Lannister,Person,Deceased,Gerold_Lannister
Feudal hereditary absolute monarchy,Kingdom of the Mountain and the Vale,Location,,Kingdom_of_the_Mountain_and_the_Vale
,Bernarr II Justman,Person,Deceased,Bernarr_II_Justman
Town,Mummer's Ford,Location,,Mummer%27s_Ford
,Nagga,Animal,Deceased,Nagga
,House Blacktyde,House,,House_Blacktyde
,House Greyiron,House,,House_Greyiron
,Surrender of Moat Cailin,Event,,Surrender_of_Moat_Cailin
,Liberation of Harrenhal,Event,,Liberation_of_Harrenhal
,Sack of Ashemark,Event,,Sack_of_Ashemark
,Liberation of Stone Hedge,Event,,Liberation_of_Stone_Hedge
,Liberation of Raventree Hall,Event,,Liberation_of_Raventree_Hall
,Raid on Torrhen's Square,Event,,Raid_on_Torrhen%27s_Square
,Maekar I Targaryen,Person,Deceased,Maekar_Targaryen
,Daemon II Blackfyre,Person,Deceased,Daemon_II_Blackfyre
,The Rat Cook,Person,Deceased,Rat_Cook
,The Night's Queen,Person,Deceased,Night%27s_Queen
,Hugor of the Hill,Person,Deceased,Hugor_of_the_Hill
,Winged Knight,Person,Deceased,Winged_Knight
,Herndon,Person,Deceased,Herndon_of_the_Horn
,House Kenning,House,,House_Kenning
,House Humble,House,,House_Humble
,House Sparr,House,,House_Sparr
,House Merlyn,House,,House_Merlyn
,House Harlaw,House,,House_Harlaw
,House Goodbrother,House,,House_Goodbrother
,House Drumm,House,,House_Drumm
,Jaremy Mallister,Person,Deceased,Jaremy_Mallister
,Macumber,Animal,,Macumber
Cephalopods- sea creature- legendary,Krakens,Animal,,Krakens
,Bastard's girls,Animal,Uncertain,Bastard%27s_girls
,Adrack Humble,Person,Deceased,Adrack_Humble
Mammal,Zorses,Animal,Active,Zorses
Mammal,Dwarf elephants,Animal,Active,Dwarf_elephants
Reptile,Old men of the river,Animal,Active,Old_men_of_the_river
Reptile,Lizard-lions,Animal,Active,Lizard-lions
Mammal,Dornish sand steed,Animal,Domesticated,Dornish_sand_steed
Castle,Whitewalls,Location,,Whitewalls
,Qhorwyn Hoare,Person,Deceased,Qhorwyn_Hoare
,Artys I Arryn,Person,Deceased,Artys_I_Arryn
,Baelor I Targaryen,Person,Deceased,Baelor_Targaryen
Castle,Hammerhorn,Location,,Hammerhorn
Mountain,Giant's Lance,Location,,Giant%27s_Lance
,Daeron Targaryen,Person,Deceased,Daeron_Targaryen_(son_of_Aegon_V)
,Shiera Seastar,Person,Deceased,Shiera_Seastar
,Naerys Targaryen,Person,Deceased,Naerys_Targaryen
,Rhaego,Person,Deceased,Rhaego
,Jhiqui,Person,Uncertain,Jhiqui
,Elaena Targaryen,Person,Deceased,Elaena_Targaryen
,Loboda,Person,Deceased,Loboda
,Karsi,Person,Deceased  (reanimated as a wight ),Karsi
,Rhaena Targaryen,Person,Deceased,Rhaena_Targaryen_(daughter_of_Aegon_III)
,Valyrians,PersonType,Scattered,Valyrians
,Malleon,Person,Deceased,Malleon
,Samyrian,Location,,Samyrian
,Denner,Person,Uncertain,Denner
,Jeffory Mallister,Person,,Jeffory_Mallister
,Jason Mallister,Person,Alive,Jason_Mallister
,Maelor Targaryen,Person,Deceased,Maelor_Targaryen
,Jaehaerys Targaryen,Person,Deceased,Jaehaerys_Targaryen_(son_of_Aegon_II)
,Ice-river clans,PersonType,Active,Ice-river_clans
,Wun Weg Wun Dar Wun,Person,Deceased,Wun_Weg_Wun_Dar_Wun
,Willa,Person,Alive,Willa
,Johnna,Person,Alive,Johnna
,White Walker,Person,Deceased,White_Walker_(Hardhome)
,Styr,Person,Deceased,Styr
,Hornfoot,PersonType,Active,Hornfoot
,Cave people,PersonType,Active,Cave_people
,The Red Keep,HistoriesNLore,,The_Red_Keep
,Miller's wife,Person,Deceased,Unnamed_miller%27s_wife
,Ghiscari,PersonType,Active,Ghiscari
,Battle of Seagard,Event,,Battle_of_Seagard
Mercantile city-state,Mantarys,Location,,Mantarys
,Captain's daughter,Person,Alive,Captain%27s_daughter
,House Penrose,House,,House_Penrose
,Qotho,Person,Deceased,Qotho
,Assassination at the Red Keep,Event,,Assassination_at_the_Red_Keep
,Jon Umber,Person,Deceased,Smalljon_Umber
,Dongo,Person,Deceased,Dongo
Geographic area,Thenn valley,Location,,Thenn_(region)
Village,White Tree,Location,,White_Tree
,Ambush at Dragonstone,Event,,Ambush_at_Dragonstone
,Orell,Person,Deceased,Orell
Cave,Cave of the Three-Eyed Raven,Location,,Cave_of_the_Three-Eyed_Raven
,Battle of Fair Isle,Event,,Battle_of_Fair_Isle
,Raid on Sea Dragon Point,Event,,Raid_on_Sea_Dragon_Point
,House of Loraq,House,,House_of_Loraq
,Thenn warg,Person,Deceased,Thenn_warg
,Assault on Harrenhal,Event,,Assault_on_Harrenhal
,Dance Over Storm's End,Event,,Dance_Over_Storm%27s_End
,Malko,Person,Alive,Malko
,Mago,Person,Deceased,Mago
,Haggo,Person,Deceased,Haggo
,Cohollo,Person,Uncertain,Cohollo
,Borros Baratheon,Person,Deceased,Borros_Baratheon
City,Oros,Location,,Oros
City- ruins,Tyria,Location,,Tyria
City,Bhorash,Location,Ruined,Bhorash
,Ice,Weapon,Melted down and reforged into Oathkeeper and Widow's Wail,Ice
,Valyrian sword smith,Person,Alive,Valyrian_sword_smith
,Tommy,Person,Uncertain,Tommy
,Siege of Rook's Rest,Event,,Siege_of_Rook%27s_Rest
Holdfast,Queenscrown,Location,Abandoned,Queenscrown
,Fall of King's Landing,Event,,Fall_of_King%27s_Landing
,Assassination of Aegon II,Event,,Assassination_of_Aegon_II
,Battle Above the Gods Eye,Event,,Battle_Above_the_Gods_Eye
,Sylvi,Person,Alive,Sylvi
,Cedric Umber,Person,,Cedric_Umber
,Maynard Umber,Person,Deceased,Maynard_Umber
,Morgana Umber,Person,Deceased,Morgana_Umber
,Emilia Umber,Person,Deceased,Emilia_Umber
,Finn Umber,Person,Deceased,Finn_Umber
,Raid on Craster's Keep,Event,,Raid_on_Craster%27s_Keep
Sellsword company,Windblown,Organization,Active,Windblown
,House Degore,House,,House_Degore
,Kear Umber,Person,Deceased,Kear_Umber
,Brandon Umber,Person,Deceased,Brandon_Umber
,Leaf,Person,Deceased,Leaf
,Three-Eyed Raven,Person,Deceased,Three-Eyed_Raven
,Jhaqo,Person,Uncertain after Daenarys Targaryen burned all the great khals known,Jhaqo
,Battle of the Gullet,Event,,Battle_of_the_Gullet
,Otto Hightower,Person,Deceased,Otto_Hightower
,Ormund Baratheon,Person,Deceased,Ormund_Baratheon
,Lyonel Baratheon,Person,Deceased,Lyonel_Baratheon
,Tobho Mott,Person,Alive,Tobho_Mott
,Axel Baratheon,Person,Deceased,Axel_Baratheon
,Katrina Umber,Person,Deceased,Katrina_Umber
,Hollys Umber,Person,Deceased,Hollys_Umber
,Sack of Tumbleton,Event,,Sack_of_Tumbleton
,Assassination of Dalton Greyjoy,Event,,Assassination_of_Dalton_Greyjoy
,Butcher's Ball,Event,,Butcher%27s_Ball
,Retaking of Harrenhal,Event,,Retaking_of_Harrenhal
,Old Man,Person,Deceased,Old_man
,Mychal Baratheon,Person,Deceased,Mychal_Baratheon
Alliance of Tyrosh - Myr - and Lys,Kingdom of the Three Daughters,Location,,Kingdom_of_the_Three_Daughters
,Moro,Person,Deceased,Moro
,Pono,Person,Uncertain after Daenerys Targaryen burned all of the known great Khals,Pono
Stretch of water,Gullet,Location,,Gullet
,Jenny of Oldstones,Person,Deceased,Jenny_of_Oldstones
,Lyman Beesbury,Person,Deceased,Lyman_Beesbury
Lighthouse,The Hightower,Location,,The_Hightower
,Battle at the Cave of the Three-Eyed Raven,Event,,Battle_at_the_Cave_of_the_Three-Eyed_Raven
,Siege of Astapor,Event,,Siege_of_Astapor
,Breaching of the Wall,Event,,Breaching_of_the_Wall
,Sissy,Person,Alive,Sissy
,Monica Baratheon,Person,Deceased,Monica_Baratheon
,Argella Baratheon,Person,Deceased,Argella_Baratheon
,Showdown at the Tower of Joy,Event,,Showdown_at_the_Tower_of_Joy
,Petra Tallhart,Person,Deceased,Petra_Tallhart
,Tyrek Tallhart,Person,Deceased,Tyrek_Tallhart
,Red Priestess,Person,Alive,Red_Priestess_(High_Sparrow)
,Medger Cerwyn,Person,Deceased,Medger_Cerwyn
,Cleos Umber,Person,Deceased,Cleos_Umber
,Vivian Cerwyn,Person,Deceased,Vivian_Cerwyn
,Johanna Lannister,Person,Deceased,Johanna_Lannister
,Munkun,Person,Deceased,Munkun
,Sack of the Iron Islands,Event,,Sack_of_the_Iron_Islands
,Jasper Wylde,Person,Deceased,Jasper_Wylde
,Orwyle,Person,Deceased,Orwyle
,High Priestess of the Dosh Khaleen,Person,Alive,High_Priestess_of_the_Dosh_Khaleen
,Moro's bloodrider,Person,Deceased,Moro%27s_bloodrider_2
,Assault on Dragonstone,Event,,Assault_on_Dragonstone
,Aggo,Person,Deceased,Aggo_(The_Red_Woman)
,The Pact,Event,,The_Pact
,House Cassel,House,,House_Cassel
Government,Ruling Council of Astapor,Organization,Defunct,Astapori_ruling_council
,Cleon,Person,Uncertain,Cleon
,Craster's wife,Person,Alive,Craster%27s_wife_3_(Oathkeeper)
,Craster's wife,Person,Alive,Craster%27s_wife_2_(Oathkeeper)
,High Priest of R'hllor,Person,Alive,High_Priest_of_R%27hllor
,Long Bridge of Volantis,Location,,Long_Bridge
,Battle of Ashford,Event,,Battle_of_Ashford
,Battle of Summerhall,Event,,Battle_of_Summerhall
,Wylla,Person,Deceased,Wylla
,Jason Lannister,Person,Deceased,Jason_Lannister
,Eustace,Person,Deceased,Eustace
Castle,Rain House,Location,,Rain_House
,House Wylde,House,,House_Wylde
Religious and governmental center,Temple of the Dosh khaleen,Location,Destroyed,Temple_of_the_Dosh_khaleen
,Dothraki crone,Person,Alive,Dothraki_crone
,Ornela,Person,Alive,Ornela
,Savo,Person,Deceased,Savo
,House Swann,House,,House_Swann
,Byron Swann,Person,Deceased,Byron_Swann
,House Grandison,House,,House_Grandison
,House Grayson,House,,House_Grayson
,House Elliver,House,,House_Elliver
,House Poole,House,,House_Poole
,House Warrick,House,,House_Warrick
,House Brownbarrow,House,,House_Brownbarrow
,House Mollen,House,,House_Mollen
,House Mazin,House,,House_Mazin
,House Marsh,House,,House_Marsh
,House Holt,House,,House_Holt
,House Flint,House,,House_Flint
,House Dormund,House,,House_Dormund
,Skirmish at Littlefinger's brothel,Event,,Skirmish_at_Littlefinger%27s_brothel
,Beric Dayne,Person,Deceased,Beric_Dayne
,Son of Nymeria and Davos Dayne,Person,Deceased,Dayne_(son_of_Davos)
,Davos Dayne,Person,Deceased,Davos_Dayne
,Vorian Dayne,Person,Deceased,Vorian_Dayne
,House Toyne,House,,House_Toyne
,House Connington,House,,House_Connington
,House Seaworth,House,,House_Seaworth
Mountain,Mother of Mountains,Location,,Mother_of_Mountains
,House Selmy,House,,House_Selmy
,House Dondarrion,House,,House_Dondarrion
,House Caron,House,,House_Caron
,House Trant,House,,House_Trant
,House Tarth,House,,House_Tarth
,House Peasebury,House,,House_Peasebury
,House Musgood,House,,House_Musgood
,House Morrigen,House,,House_Morrigen
,House Lonmouth,House,,House_Lonmouth
,Marlin Dormund,Person,Alive,Marlin_Dormund
,Rodrik Flint,Person,Deceased,Rodrik_Flint
,Lord Mazin,Person,Alive,Mazin_(Lord)
,Errold Holt,Person,Alive,Errold_Holt
,Hallis Mollen,Person,Deceased,Hallis_Mollen
,House Cole,House,,House_Cole
Island,Estermont,Location,,Estermont
Castle,Blackhaven,Location,,Blackhaven
Castle,Mistwood,Location,,Mistwood
,House Errol,House,,House_Errol
Castle,Crow's Nest,Location,,Crow%27s_Nest
Castle,Stonehelm,Location,,Stonehelm
Castle,Griffin's Roost,Location,,Griffin%27s_Roost
Castle,Evenfall Hall,Location,,Evenfall_Hall
Castle,Felwood,Location,,Felwood
Castle,Bronzegate,Location,,Bronzegate
,Marya Seaworth,Person,Alive,Marya_Seaworth
Region,The Footprint,Location,,The_Footprint
,Dawn,Weapon,,Dawn
,Richard Lonmouth,Person,,Richard_Lonmouth
,Trial by Seven of ,Event,,Trial_by_Seven_of_Maegor_Targaryen
,Damon Morrigen,Person,Deceased,Damon_Morrigen
,Selwyn Tarth,Person,Alive,Selwyn_Tarth
,Corlys Wells,Person,Alive,Corlys_Wells
,Lady Caulfield,Person,Alive,Caulfield_(Lady)
,Aggo,Person,Uncertain,Aggo_(The_North_Remembers)
,Iggo,Person,Deceased,Iggo
,Craster's younger wife,Person,Alive,Craster%27s_younger_wife_(Walk_of_Punishment)
Castle,Ghost Hill,Location,,Ghost_Hill
Castle,Lemonwood,Location,,Lemonwood
Castle,Saltshore,Location,,Saltshore
Castle,Godsgrace,Location,,Godsgrace
Castle,The Tor,Location,,The_Tor
Castle,Sandstone,Location,,Sandstone
Castle,Skyreach,Location,,Skyreach
Castle,Kingsgrave,Location,,Kingsgrave
Castle,Vulture's Roost,Location,,Vulture%27s_Roost
,Faith Militant raid on the Red Keep,Event,,Faith_Militant_raid_on_the_Red_Keep
,The Knight of the Laughing Tree,Person,Uncertain,Knight_of_the_Laughing_Tree
Castle, Blackmont ,Location,,Blackmont
,Craster's wife,Person,Alive,Craster%27s_wife_(Walk_of_Punishment)
,Craster's last son,Person,Alive,Craster%27s_last_son
,Morag,Person,Uncertain,Morag
,House Wells,House,,House_Wells
,Uprising in Meereen,Event,,Uprising_in_Meereen
Castle,Sunflower Hall,Location,,Sunflower_Hall
Castle,Three Towers,Location,,Three_Towers
Castle,Blackcrown,Location,,Blackcrown
Castle,Uplands,Location,,Uplands
Castle,Bandallon,Location,,Bandallon
Castle,Brightwater Keep,Location,,Brightwater_Keep
,White Walker,Person,Deceased,White_Walker_(The_Door)
Castle,Grassy Vale,Location,,Grassy_Vale
Castle,Bitterbridge,Location,,Bitterbridge
Castle,Goldengrove,Location,,Goldengrove
Castle,Red Lake,Location,,Red_Lake
Island,Battle Isle,Location,,Battle_Isle
,Humfrey Beesbury,Person,Deceased,Humfrey_Beesbury
,House Blackmont,House,,House_Blackmont
,House Manwoody,House,,House_Manwoody
,House Qorgyle,House,,House_Qorgyle
,House Jordayne,House,,House_Jordayne
,House Allyrion,House,,House_Allyrion
,House Dalt,House,,House_Dalt
,Archmaester,Person,Alive,Archmaester_(Eastwatch)
,Moro's bloodrider,Person,Deceased,Moro%27s_bloodrider_1
Ruined castle,Oldstones,Location,Ruined,Oldstones
Castle,Honeyholt,Location,,Honeyholt
Castle,Long Table,Location,,Long_Table
,The Harpy,Person,Uncertain,The_Harpy
,Moro's wife,Person,Alive,Moro%27s_wife_2
,Moro's wife,Person,Alive,Moro%27s_wife_1
,Massacre of the ,Event,,Massacre_of_the_Khalar_vezhven
,Moro,Person,Deceased,Moro_(son_of_Mengo)
,Raymont Baratheon,Person,Deceased,Raymont_Baratheon
,Ethelide Baratheon,Person,Deceased,Ethelide_Baratheon
,Theresa Baratheon,Person,Deceased,Theresa_Baratheon
,Ulf the White,Person,Deceased,Ulf_the_White
,Hugh Hammer,Person,Deceased,Hugh_Hammer
,Sack of Lannisport,Event,,Sack_of_Lannisport
,The Red,Animal,Deceased,The_red
,Corin Umber,Person,Deceased,Corin_Umber
,Joseth Umber,Person,Deceased,Joseth_Umber
,Gareth Umber,Person,Deceased,Gareth_Umber
,Deziel Dalt,Person,Alive,Deziel_Dalt
,House Santagar,House,,House_Santagar
,House Gargalen,House,,House_Gargalen
,Benedict Blackmont,Person,Deceased,Benedict_Blackmont
,Lord Blackmont,Person,Alive,Blackmont_(Lord)
,The Free Cities,HistoriesNLore,,The_Free_Cities
,Brozho,Person,Deceased,Brozho
,Rhalko,Person,Deceased,Rhalko
,Lucan Umber,Person,Deceased,Lucan_Umber
,Mycah Umber,Person,Deceased,Mycah_Umber
,Craster,Person,Deceased,Craster
,Mazor Alexi,Person,Deceased,Mazor_Alexi
,Sarnori,PersonType,Active,Sarnori
Ruin,Sathar,Location,,Sathar
,Forzho,Person,Deceased,Forzho
,Qorro,Person,Deceased,Qorro
,Lannister Fleet,Organization,Defunct,Lannister_fleet
,Serwyn Errol,Person,Deceased,Serwyn_Errol
,Nettles,Person,Deceased,Nettles
,Mengo,Person,Deceased,Mengo
,Morag Umber,Person,Deceased,Morag_Umber
,Harkon Umber,Person,Deceased,Harkon_Umber
,Daragh Umber,Person,Deceased,Daragh_Umber
,Amarylis Umber,Person,Deceased,Amarylis_Umber
,Hothor Umber,Person,Deceased,Hothor_Umber
,Ned Umber,Person,Alive,Ned_Umber
,The Night's Watch,HistoriesNLore,,The_Night%27s_Watch
,White Walker,Person,Alive,White_Walker_(Oathkeeper)
,White Walker,Person,Deceased,White_Walker_(Valar_Morghulis)
,White Walker,Person,Alive,White_Walker_(The_Night_Lands)
,Haro,Person,Deceased,Haro
,Field of Crows,Event,,Field_of_Crows
,Mycah,Person,Deceased,Mycah
,White Walker,Person,Alive,White_Walker_(Winter_Is_Coming)
,First Trial by Combat of Tyrion Lannister,Event,,First_Trial_by_Combat_of_Tyrion_Lannister
,Siege of Old Wyk,Event,,Siege_of_Old_Wyk
,Gendel,Person,Deceased,Gendel
,Oznak zo Pahl,Person,Deceased,Oznak_zo_Pahl
,Prendahl na Ghezn,Person,Deceased,Prendahl_na_Ghezn
,Siege of Great Wyk,Event,,Siege_of_Great_Wyk
,Raid on Lannisport,Event,,Raid_on_Lannisport
,Greizhen mo Ullhor,Person,Deceased,Greizhen_mo_Ullhor
,Jacaerys Velaryon,Person,Deceased,Jacaerys_Velaryon
Political faction,Blacks,Organization,Inactive,Blacks
,Laenor Velaryon,Person,Deceased,Laenor_Velaryon
,Joffrey Velaryon,Person,Deceased,Joffrey_Velaryon
,Zhako,Person,Deceased,Zhako
,Loso,Person,Deceased,Loso
,Qano,Person,Deceased,Qano
,Corlys Velaryon,Person,Deceased,Corlys_Velaryon
,"""Blood""",Person,Deceased,Blood_(Former_Gold_Cloak)
,Lucerys Velaryon,Person,Deceased,Lucerys_Velaryon
,"""Cheese""",Person,Deceased,Cheese
City-state,Bayasabhad,Location,,Bayasabhad
Region,Hyrkoon,Location,,Hyrkoon
Political faction,Greens,Organization,Inactive,Greens
,Wildling girl,Person,Deceased  (reanimated as a wight ),Wildling_girl
,Gorne,Person,Deceased,Gorne
,Yunkai'i whore,Person,Alive,Yunkai%27i_whore
,Mero,Person,Deceased,Mero
,The Red Waste,Location,,Red_Waste
,Viola Redwyne,Person,Uncertain,Viola_Redwyne
Prison,The Maidenvault,Location,,Maidenvault
Peninsula,Valyrian Peninsula,Location,,Valyrian_Peninsula
,Harlan Hoare,Person,Deceased,Harlan_Hoare
,Qyle Corbray,Person,Deceased,Qyle_Corbray
,Lady Forlorn,Weapon,With the head of House Corbray,Lady_Forlorn
,Robar II Royce,Person,Deceased,Robar_II_Royce
,Jaehaera Targaryen,Person,Deceased,Jaehaera_Targaryen
,Viserys II Targaryen,Person,Deceased,Viserys_II_Targaryen
,Lomas Longstrider,Person,Deceased,Lomas_Longstrider
,Aemond Targaryen,Person,Deceased,Aemond_Targaryen
,Aegon III Targaryen,Person,Deceased,Aegon_III_Targaryen
,Mirri Maz Duur,Person,Deceased,Mirri_Maz_Duur
,Maelys Blackfyre,Person,Deceased,Maelys_Blackfyre
,Daemon I Blackfyre,Person,Deceased,Daemon_I_Blackfyre
,Battle of the Redgrass Field,Event,,Battle_of_the_Redgrass_Field
